Result Date,Numbers,Bonus Number,Prize,Rollover
2011-Dec-30 Friday,"['2', '13', '22', '28', '35', '41', '42']",4,"50,000,000",False
2011-Dec-23 Friday,"['3', '4', '9', '25', '26', '37', '39']",45,"50,000,000",True
2011-Dec-16 Friday,"['11', '24', '26', '31', '42', '44', '46']",22,"30,000,000",True
2011-Dec-09 Friday,"['3', '11', '18', '19', '23', '27', '44']",46,"20,000,000",True
2011-Dec-02 Friday,"['23', '29', '33', '34', '39', '44', '48']",32,"10,000,000",True
2011-Nov-25 Friday,"['8', '10', '15', '24', '30', '35', '49']",23,"21,000,000",False
2011-Nov-18 Friday,"['8', '17', '27', '28', '39', '44', '49']",24,"50,000,000",False
2011-Nov-11 Friday,"['5', '7', '9', '25', '31', '37', '39']",22,"50,000,000",True
2011-Nov-04 Friday,"['5', '8', '13', '15', '27', '28', '37']",39,"40,000,000",True
2011-Oct-28 Friday,"['2', '4', '18', '20', '29', '38', '41']",9,"30,000,000",True
2011-Oct-21 Friday,"['6', '23', '27', '30', '34', '38', '45']",21,"20,000,000",True
2011-Oct-14 Friday,"['1', '3', '7', '19', '31', '39', '49']",17,"12,000,000",True
2011-Oct-07 Friday,"['12', '13', '24', '25', '26', '41', '43']",7,"50,000,000",False
2011-Sep-30 Friday,"['5', '6', '7', '12', '14', '18', '25']",38,"40,000,000",True
2011-Sep-23 Friday,"['8', '16', '24', '27', '30', '38', '40']",18,"30,000,000",True
2011-Sep-16 Friday,"['12', '18', '22', '24', '28', '43', '49']",21,"20,000,000",True
2011-Sep-09 Friday,"['6', '8', '15', '20', '30', '32', '42']",17,"10,000,000",True
2011-Sep-02 Friday,"['2', '3', '8', '13', '18', '20', '23']",10,"20,000,000",False
2011-Aug-26 Friday,"['6', '11', '12', '14', '35', '43', '44']",42,"10,000,000",True
2011-Aug-19 Friday,"['4', '14', '24', '41', '43', '46', '49']",1,"40,000,000",False
2011-Aug-12 Friday,"['4', '15', '21', '30', '33', '35', '47']",28,"30,000,000",True
2011-Aug-05 Friday,"['11', '17', '18', '20', '22', '29', '45']",27,"20,000,000",True
2011-Jul-29 Friday,"['1', '2', '3', '17', '24', '35', '36']",30,"10,000,000",True
2011-Jul-22 Friday,"['4', '13', '23', '28', '32', '40', '42']",12,"15,000,000",False
2011-Jul-15 Friday,"['3', '7', '8', '12', '18', '24', '41']",1,"10,000,000",True
2011-Jul-08 Friday,"['17', '22', '28', '38', '41', '43', '45']",5,"21,412,690",False
2011-Jul-01 Friday,"['15', '18', '20', '28', '29', '40', '47']",38,"15,000,000",True
2011-Jun-24 Friday,"['2', '9', '10', '15', '29', '44', '48']",22,"10,000,000",True
2011-Jun-17 Friday,"['2', '7', '14', '16', '22', '27', '47']",25,"22,646,018.70",False
2011-Jun-10 Friday,"['8', '11', '12', '25', '28', '30', '33']",16,"15,000,000",True
2011-Jun-03 Friday,"['8', '21', '28', '32', '33', '34', '48']",38,"10,000,000",True
2011-May-27 Friday,"['5', '9', '19', '20', '21', '28', '30']",36,"50,000,000",False
2011-May-20 Friday,"['7', '12', '14', '18', '30', '45', '47']",20,"35,738,798",False
2011-May-13 Friday,"['7', '8', '14', '32', '38', '42', '44']",30,"25,670,815.90",True
2011-May-06 Friday,"['6', '19', '24', '25', '26', '35', '36']",23,"16,325,905",True
2011-Apr-29 Friday,"['1', '13', '20', '24', '39', '45', '47']",25,"10,000,000",True
2011-Apr-22 Friday,"['7', '19', '34', '35', '38', '42', '46']",11,"33,301,693.30",False
2011-Apr-15 Friday,"['3', '12', '14', '15', '25', '32', '49']",37,"50,000,000",False
2011-Apr-08 Friday,"['13', '18', '25', '41', '44', '48', '49']",1,"50,000,000",True
2011-Apr-01 Friday,"['5', '6', '11', '12', '24', '26', '34']",49,"50,000,000",True
2011-Mar-25 Friday,"['1', '4', '22', '25', '26', '36', '46']",5,"44,216,504.10",True
2011-Mar-18 Friday,"['2', '5', '10', '21', '25', '35', '49']",40,"32,202,514.70",True
2011-Mar-11 Friday,"['2', '3', '4', '20', '22', '40', '43']",9,"50,000,000",False
2011-Mar-04 Friday,"['3', '18', '27', '29', '32', '33', '35']",47,"50,000,000",True
2011-Feb-25 Friday,"['3', '14', '19', '30', '32', '39', '46']",8,"50,000,000",True
2011-Feb-18 Friday,"['3', '7', '12', '16', '20', '42', '48']",31,"42,205,561.70",True
2011-Feb-11 Friday,"['4', '6', '13', '19', '26', '29', '47']",43,"30,474,201.20",True
2011-Feb-04 Friday,"['1', '3', '13', '18', '19', '39', '48']",40,"21,000,000",True
2011-Jan-28 Friday,"['7', '10', '14', '20', '21', '23', '31']",41,"50,000,000",False
2011-Jan-21 Friday,"['2', '18', '19', '29', '42', '47', '49']",17,"45,699,072",True
2011-Jan-14 Friday,"['2', '6', '10', '12', '24', '30', '37']",3,"32,608,919",True
2011-Jan-07 Friday,"['2', '10', '13', '15', '23', '28', '49']",40,"23,000,000",True
2012-Dec-28 Friday,"['1', '9', '25', '28', '32', '41', '48']",12,"12,000,000",True
2012-Dec-21 Friday,"['7', '8', '17', '18', '20', '40', '41']",33,"50,000,000",False
2012-Dec-14 Friday,"['3', '6', '10', '33', '39', '48', '49']",18,"30,385,240.60",True
2012-Dec-07 Friday,"['5', '11', '22', '29', '38', '42', '49']",33,"21,000,000",True
2012-Nov-30 Friday,"['3', '10', '13', '23', '31', '41', '45']",33,"50,000,000",False
2012-Nov-23 Friday,"['6', '8', '10', '17', '28', '29', '38']",34,"50,000,000",True
2012-Nov-16 Friday,"['1', '5', '9', '19', '27', '35', '48']",30,"42,000,000",True
2012-Nov-09 Friday,"['8', '9', '11', '22', '24', '42', '46']",13,"37,000,000",True
2012-Nov-02 Friday,"['1', '2', '5', '26', '29', '36', '47']",13,"50,000,000",False
2012-Oct-26 Friday,"['3', '4', '20', '25', '30', '35', '48']",23,"50,000,000",True
2012-Oct-19 Friday,"['1', '2', '3', '15', '22', '37', '41']",6,"50,000,000",True
2012-Oct-12 Friday,"['5', '7', '12', '15', '35', '45', '47']",40,"50,000,000",True
2012-Oct-05 Friday,"['1', '12', '23', '27', '30', '31', '37']",33,"50,000,000",True
2012-Sep-28 Friday,"['5', '6', '32', '33', '39', '42', '47']",9,"40,000,000",True
2012-Sep-21 Friday,"['7', '8', '10', '11', '19', '34', '45']",44,"30,000,000",True
2012-Sep-14 Friday,"['2', '27', '30', '31', '37', '46', '47']",21,"20,000,000",True
2012-Sep-07 Friday,"['11', '14', '18', '20', '37', '41', '46']",8,"10,000,000",True
2012-Aug-31 Friday,"['5', '12', '13', '28', '33', '37', '43']",44,"20,000,000",False
2012-Aug-24 Friday,"['2', '3', '5', '22', '23', '32', '33']",8,"50,000,000",False
2012-Aug-17 Friday,"['18', '19', '22', '27', '29', '36', '47']",25,"50,000,000",True
2012-Aug-10 Friday,"['2', '15', '18', '19', '22', '27', '49']",40,"40,000,000",True
2012-Aug-03 Friday,"['1', '2', '18', '26', '27', '39', '42']",33,"30,000,000",True
2012-Jul-27 Friday,"['2', '20', '25', '26', '46', '47', '48']",44,"20,000,000",True
2012-Jul-20 Friday,"['4', '7', '29', '35', '39', '43', '44']",46,"10,000,000",True
2012-Jul-13 Friday,"['3', '13', '14', '23', '33', '36', '45']",7,"43,543,960.60",False
2012-Jul-06 Friday,"['14', '26', '31', '34', '37', '45', '48']",38,"50,000,000",False
2012-Jun-29 Friday,"['10', '14', '20', '28', '35', '40', '42']",44,"50,000,000",True
2012-Jun-22 Friday,"['1', '12', '20', '22', '30', '34', '38']",33,"50,000,000",True
2012-Jun-15 Friday,"['8', '11', '20', '28', '36', '43', '47']",18,"50,000,000",True
2012-Jun-08 Friday,"['9', '10', '16', '24', '26', '44', '48']",27,"43,050,316.70",True
